Motor Carrier ,Company,City,County,State,clean_city
893598.0,A&A LOGISTICS,BAKERSFIELD,Los Angeles,CA,bakersfield
2928916.0,OJEDA BROTHER'S TRUCKING,SN BERNRDNO,,CA,san bernardino
2051212.0,"PARMAR TRUCKING, INC",FRESNO,,CA,fresno
2015297.0,"1 CORINTHIANS 13 TRANSPORT, INC",RCH CUCAMONGA,,CA,rancho cucamonga
1925438.0,18 WHEELER TRANSPORTATION INC,N HOLLYWOOD,,CA,los angeles
2467968.0,18 WHEELER TRANSPORTATION LLC,YUBA CITY,,CA,yuba city
3177517.0,1986,MENDOTA,,CA,mendota
2025845.0,1989,RNCHO CORDOVA,Sacramento,CA,rancho cordova
419679.0,1ST PRIORITY LOGISTICS & CONSOILDATION,Petaluma,Sonoma,CA,petaluma
,1ST QUALITY PRODUCE,FRESNO,Fresno,CA,fresno
3432989.0,"203K LOGISTICS, LLC",PALMDALE,,CA,palmdale
3132719.0,209WEST INC,STOCKTON,,CA,stockton
2857615.0,22G TRANS,BAKERSFIELD,,CA,bakersfield
3161786.0,2300 OAKDALE RD APT#108 MODESTO CA 95355,MODESTO,,CA,modesto
2781141.0,24 CARAT EXPRESS INC,MANTECA,San Joaquin,CA,manteca
2283042.0,247 TRUCKING LLC,Porter Ranch,Los Angeles,CA,los angeles
2521529.0,3 BOYZ TRUCKING,KING CITY,,CA,king city
2816002.0,3 KINGS TRUCKING,ANAHEIM,,CA,anaheim
,3 POWER,CORONA,Riverside,CA,corona
784540.0,3D TRUCKING,Sacramento,Sacramento,CA,sacramento
,3DS TRANSPORT,Fontana,San Bernardino,CA,fontana
3255099.0,3PLE S-K TRANSPORT,REEDLEY,,CA,reedley
2329522.0,4 WAY TRANSPORT INC,PALM SPRINGS,Riverside,CA,palm springs
3190646.0,"442 TRINITY XPRESS, LLC",APPLE VALLEY,,CA,apple valley
3222642.0,5 GIRLS TRUCKING,GONZALES,,CA,gonzales
2185766.0,5 STAR EXPRESS INC,ROCKLIN,Sacramento,CA,rocklin
2365297.0,50 POINTS TRANSPORT,SANTA MARIA,Santa Barbara,CA,santa maria
,5A AND R TRANSPORT INC.,Oxnard,Ventura,CA,oxnard
3680056.0,5AAB CARRIER INC,SACRAMENTO,,CA,sacramento
