NAME,households,median_income,mean_income
"Acalanes Ridge CDP, California",432,161806,163813
"Acampo CDP, California",109,24446,48714
"Acton CDP, California",2518,109632,130356
"Adelanto city, California",8451,58040,66318
"Adin CDP, California",82,37600,38798
"Agoura Hills city, California",7314,141099,194167
"Agua Dulce CDP, California",1091,104014,135505
"Aguanga CDP, California",274,-,137842
"Ahwahnee CDP, California",849,76161,90958
"Airport CDP, California",362,24500,37199
"Alameda city, California",30500,113339,152950
"Alamo CDP, California",4973,"250,000+",332932
"Albany city, California",7586,113602,151231
"Albion CDP, California",71,-,97545
"Alderpoint CDP, California",45,-,N
"Alhambra city, California",30057,73035,93467
"Alhambra Valley CDP, California",310,159079,194542
"Aliso Viejo city, California",18999,122320,144493
"Alleghany CDP, California",55,-,N
"Allendale CDP, California",602,118810,143910
"Allensworth CDP, California",117,48906,47268
"Almanor CDP, California",0,-,-
"Alondra Park CDP, California",2715,69534,92078
"Alpaugh CDP, California",213,25313,40172
"Alpine CDP, California",5419,103503,134624
"Alpine Village CDP, California",76,80500,119734
"Alta CDP, California",273,82454,172233
"Altadena CDP, California",14789,109743,154430
"Alta Sierra CDP (Kern County), California",26,-,N
"Alta Sierra CDP (Nevada County), California",2816,102449,113060
"Alto CDP, California",356,185000,215842
"Alturas city, California",1159,50843,58701
"Alum Rock CDP, California",2892,110833,121488
"Amador City city, California",80,58000,95630
"Amador Pines CDP, California",479,93625,149797
"American Canyon city, California",5540,117846,140821
"Amesti CDP, California",846,94531,119556
"Anaheim city, California",103570,81806,103011
"Anchor Bay CDP, California",206,61786,75999
"Anderson city, California",4577,40954,55547
"Angels city, California",1596,49896,73329
"Angwin CDP, California",787,119583,129897
"Antelope CDP, California",15089,86221,98385
"Antioch city, California",35742,82244,103141
"Anza CDP, California",758,48686,74371
"Apple Valley town, California",24427,61758,82589
"Aptos CDP, California",2621,116583,154143
"Aptos Hills-Larkin Valley CDP, California",703,136709,140333
"Arbuckle CDP, California",744,73614,84649
"Arcadia city, California",19189,99588,135289
"Arcata city, California",7081,39069,62147
"Arden-Arcade CDP, California",39079,56805,91402
"Armona CDP, California",1083,53361,68314
"Arnold CDP, California",1019,68558,114144
"Aromas CDP, California",882,165000,176670
"Arroyo Grande city, California",7376,90405,105639
"Artesia city, California",4417,83321,97248
"Artois CDP, California",58,48750,61972
"Arvin city, California",4444,42961,54075
"Ashland CDP, California",7575,71002,90052
"Aspen Springs CDP, California",65,114671,113543
"Atascadero city, California",11733,82777,105941
"Atherton town, California",2244,"250,000+",539944
"Atwater city, California",10309,59436,72260
"Auberry CDP, California",1245,65341,83680
"Auburn city, California",6236,72409,102875
"Auburn Lake Trails CDP, California",1516,113663,120590
"August CDP, California",2410,43857,66827
"Avalon city, California",1501,78221,92890
"Avenal city, California",3036,52080,58741
"Avery CDP, California",122,-,96243
"Avila Beach CDP, California",794,113704,195771
"Avocado Heights CDP, California",3602,90398,108221
"Azusa city, California",13384,74043,93039
"Baker CDP, California",221,28933,46247
"Bakersfield city, California",123334,69014,89574
"Bakersfield Country Club CDP, California",542,98125,170915
"Baldwin Park city, California",17555,72554,87473
"Ballard CDP, California",295,104306,187009
"Ballico CDP, California",148,153056,184952
"Bangor CDP, California",179,88047,113147
"Banning city, California",10912,46834,64635
"Barstow city, California",8543,48219,60172
"Bass Lake CDP, California",139,110875,180377
"Bay Point CDP, California",6542,71250,95481
"Bayview CDP (Contra Costa County), California",826,113810,120357
"Bayview CDP (Humboldt County), California",1031,42292,94112
"Baywood Park CDP, California",571,203750,291595
"Beale AFB CDP, California",335,52552,70768
"Bear Creek CDP, California",29,70972,65976
"Bear Valley CDP (Alpine County), California",48,-,104948
"Bear Valley CDP (Mariposa County), California",27,-,97993
"Bear Valley Springs CDP, California",2291,89281,113986
"Beaumont city, California",15610,92797,104306
"Beckwourth CDP, California",130,233667,181985
"Belden CDP, California",0,-,-
"Bell city, California",8775,51183,63209
"Bella Vista CDP, California",1341,80337,114114
"Bell Canyon CDP, California",553,216781,305746
"Bellflower city, California",24018,70236,84993
"Bell Gardens city, California",9330,50311,60693
"Belmont city, California",10961,178125,221715
"Belvedere city, California",900,246500,389540
"Benbow CDP, California",93,38458,63122
"Bend CDP, California",151,-,133181
"Benicia city, California",10844,118433,139472
"Ben Lomond CDP, California",2700,104107,140747
"Benton CDP, California",101,57951,58686
"Benton Park CDP, California",1545,52658,59810
"Berkeley city, California",44195,97834,144355
"Bermuda Dunes CDP, California",2821,71573,93498
"Berry Creek CDP, California",525,39955,53217
"Bertsch-Oceanview CDP, California",823,59931,73513
"Bethel Island CDP, California",864,80227,97448
"Beverly Hills city, California",14401,103944,204174
"Bieber CDP, California",69,43393,70352
"Big Bear City CDP, California",5318,57147,69822
"Big Bear Lake city, California",2136,65441,99096
"Big Bend CDP, California",50,25625,38944
"Big Creek CDP, California",39,-,82659
"Biggs city, California",752,70435,79128
"Big Lagoon CDP, California",73,46484,62048
"Big Pine CDP, California",652,54167,75096
"Big River CDP, California",540,46026,57182
"Biola CDP, California",307,57411,59670
"Bishop city, California",2056,71927,74654
"Blackhawk CDP, California",3992,210313,296809
"Blacklake CDP, California",382,115326,110942
"Black Point-Green Point CDP, California",617,211726,227556
"Blairsden CDP, California",0,-,-
"Bloomfield CDP, California",88,120625,113515
"Bloomington CDP, California",5675,68628,78116
"Blue Lake city, California",487,46705,65700
"Bluewater CDP, California",59,-,77085
"Blythe city, California",3945,49235,66257
"Bodega CDP, California",154,-,162623
"Bodega Bay CDP, California",466,-,134613
"Bodfish CDP, California",969,23061,39346
"Bolinas CDP, California",551,87404,148285
"Bombay Beach CDP, California",91,23984,30287
"Bonadelle Ranchos CDP, California",1598,102381,110898
"Bonita CDP, California",4506,104694,137670
"Bonny Doon CDP, California",1027,120170,185119
"Bonsall CDP, California",1702,86442,120967
"Boonville CDP, California",356,45357,75631
"Bootjack CDP, California",223,-,83016
"Boron CDP, California",921,54063,71627
"Boronda CDP, California",432,-,78076
"Borrego Springs CDP, California",1156,103390,109833
"Bostonia CDP, California",5791,66407,83897
"Boulder Creek CDP, California",2062,101207,123348
"Boulevard CDP, California",214,-,47094
"Bowles CDP, California",49,-,74833
"Boyes Hot Springs CDP, California",2689,79861,108717
"Bradbury city, California",267,171964,409259
"Bradley CDP, California",31,63750,61800
"Brawley city, California",7283,50964,68734
"Brea city, California",16584,108721,133233
"Brentwood city, California",20509,125152,148064
"Bret Harte CDP, California",1216,32375,43381
"Bridgeport CDP, California",170,87981,73475
"Brisbane city, California",1997,122202,228299
"Broadmoor CDP, California",1369,143465,170664
"Brookdale CDP, California",638,74026,121127
"Brooks CDP, California",0,-,-
"Brooktrails CDP, California",1509,88295,85348
"Buckhorn CDP, California",1158,66055,72428
"Buck Meadows CDP, California",0,-,-
"Bucks Lake CDP, California",21,-,N
"Buellton city, California",1923,107614,119846
"Buena Park city, California",24074,90503,108185
"Buena Vista CDP, California",248,58417,60690
"Burbank city, California",43357,82246,116113
"Burbank CDP, California",1960,120556,153036
"Burlingame city, California",12418,150182,207435
"Burney CDP, California",1128,58443,69560
"Burnt Ranch CDP, California",93,50074,45074
"Butte Creek Canyon CDP, California",266,73409,107621
"Butte Meadows CDP, California",0,-,-
"Butte Valley CDP, California",528,83829,85982
"Buttonwillow CDP, California",317,39844,49746
"Byron CDP, California",550,83472,102857
"Bystrom CDP, California",1175,36102,43316
"Cabazon CDP, California",767,65952,74755
"Calabasas city, California",8936,132838,224208
"Calexico city, California",8994,47390,67984
"California City city, California",4512,44733,68666
"California Hot Springs CDP, California",13,-,N
"California Pines CDP, California",159,36484,47962
"California Polytechnic State University CDP, California",48,117083,143104
"Calimesa city, California",3653,67835,83652
"Calipatria city, California",945,39217,42913
"Calistoga city, California",2061,72861,137026
"Callender CDP, California",804,128235,139118
"Calpella CDP, California",189,89250,132687
"Calpine CDP, California",49,97031,128669
"Calwa CDP, California",497,50189,50551
"Camanche North Shore CDP, California",382,53306,56467
"Camanche Village CDP, California",583,139015,130921
"Camarillo city, California",25673,102789,130976
"Cambria CDP, California",2739,87744,103451
"Cambrian Park CDP, California",1258,222857,278400
"Cameron Park CDP, California",7449,82429,106126
"Camino CDP, California",786,127721,142534
"Camino Tassajara CDP, California",1699,"250,000+",345850
"Campbell city, California",17346,130171,172607
"Camp Nelson CDP, California",0,-,-
"Campo CDP, California",947,65504,84946
"Camp Pendleton Mainside CDP, California",1207,52208,61617
"Camp Pendleton South CDP, California",4339,58243,64236
"Camptonville CDP, California",78,102593,87556
"Canby CDP, California",19,-,N
"Cantua Creek CDP, California",115,36139,34910
"Canyondam CDP, California",0,-,-
"Canyon Lake city, California",3979,120118,134188
"Capitola city, California",4656,83726,117345
"Caribou CDP, California",0,-,-
"Carlsbad city, California",44350,119302,157427
"Carmel-by-the-Sea city, California",1601,100365,164716
"Carmel Valley Village CDP, California",1830,142222,187553
"Carmet CDP, California",8,-,N
"Carmichael CDP, California",31033,74184,102569
"Carnelian Bay CDP, California",295,122375,132480
"Carpinteria city, California",4958,78349,117278
