,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,clean_city,land_value,property_value
0,06,66140,02411785,0666140,San Fernando,San Fernando city,san fernando,231548.14072017185,548286.5849359238
1,06,14190,02409487,0614190,Cloverdale,Cloverdale city,cloverdale,126071.68084366474,500041.1795469681
2,06,16560,02410240,0616560,Cotati,Cotati city,cotati,214775.07314839194,608872.7681118536
3,06,65042,02411779,0665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,san buenaventura (ventura),435396.33401343756,765548.2889501094
4,06,30014,02410601,0630014,Glendora,Glendora city,glendora,386868.48836183344,683028.2853811966
5,06,32548,02410720,0632548,Hawthorne,Hawthorne city,hawthorne,471426.2861741837,790681.7201745509
6,06,36546,02410106,0636546,Inglewood,Inglewood city,inglewood,349793.3206928585,620466.3464298343
7,06,39003,02411565,0639003,La Cañada Flintridge,La Cañada Flintridge city,la cañada flintridge,1104601.5315690157,1319642.150715844
8,06,40032,02411577,0640032,La Mirada,La Mirada city,la mirada,378129.29501495167,643607.7806903748
9,06,55156,02411359,0655156,Palmdale,Palmdale city,palmdale,58613.263695611764,274919.9021080922
10,06,55380,02411363,0655380,Palos Verdes Estates,Palos Verdes Estates city,palos verdes estates,1443519.3669255842,1549715.345180368
11,06,62602,02410986,0662602,Rolling Hills,Rolling Hills city,rolling hills,1107200.0,1442800.0
12,06,69088,02411819,0669088,Santa Clarita,Santa Clarita city,santa clarita,257728.09808868292,542306.0441461751
13,06,69154,02411823,0669154,Santa Fe Springs,Santa Fe Springs city,santa fe springs,288789.2626798384,585160.812103194
14,06,82422,02412150,0682422,Vernon,Vernon city,vernon,241599.99999999997,531400.0
15,06,83332,02412173,0683332,Walnut,Walnut city,walnut,517636.52497204137,783124.9486890864
16,06,71806,02411897,0671806,Sierra Madre,Sierra Madre city,sierra madre,759231.0700201282,998264.8572051774
17,06,73220,02411940,0673220,South Pasadena,South Pasadena city,south pasadena,953221.2881522403,1259042.9751952216
18,06,09598,02409955,0609598,Calabasas,Calabasas city,calabasas,718985.6652260893,1024454.0151370424
19,06,62644,02410987,0662644,Rolling Hills Estates,Rolling Hills Estates city,rolling hills estates,936681.7748158956,1166395.1353356214
20,06,05290,02409833,0605290,Benicia,Benicia city,benicia,219107.92654180745,573689.6453438676
21,06,19402,02410343,0619402,Dixon,Dixon city,dixon,113872.11710492159,384082.76664560405
22,06,60984,02410955,0660984,Rio Vista,Rio Vista city,rio vista,87100.0,347200.0
23,06,24092,02410504,0624092,Fillmore,Fillmore city,fillmore,177966.68683380625,474637.2254794478
24,06,54652,02411347,0654652,Oxnard,Oxnard city,oxnard,299405.0534958713,583457.994049821
25,06,03666,02409777,0603666,Baldwin Park,Baldwin Park city,baldwin park,265266.0391057673,542189.137757196
26,06,06308,02409840,0606308,Beverly Hills,Beverly Hills city,beverly hills,3649655.273383999,3299083.4133179644
27,06,30000,02410597,0630000,Glendale,Glendale city,glendale,631613.4413469365,940682.7352651969
28,06,40340,02411581,0640340,La Puente,La Puente city,la puente,263198.284345747,537532.7647575191
29,06,44000,02410877,0644000,Los Angeles,Los Angeles city,los angeles,727643.2725505943,999895.3819363832
30,06,55618,02411369,0655618,Paramount,Paramount city,paramount,260601.36710545607,544574.9623671705
31,06,78148,02412047,0678148,Temple City,Temple City city,temple city,685909.760343489,889599.8596924806
32,06,59451,02411514,0659451,Rancho Cucamonga,Rancho Cucamonga city,rancho cucamonga,226234.93083258794,493596.2926439425
33,06,10345,02409971,0610345,Campbell,Campbell city,campbell,861728.5100687237,1286989.265713173
34,06,17610,02410278,0617610,Cupertino,Cupertino city,cupertino,1480166.2233663786,1879899.3624635488
35,06,43294,02412916,0643294,Los Altos Hills,Los Altos Hills town,los altos hills,1779434.5298738074,2087577.3146223705
36,06,48956,02411142,0648956,Monte Sereno,Monte Sereno city,monte sereno,1501617.3717035733,1872221.3175407578
37,06,55282,02411362,0655282,Palo Alto,Palo Alto city,palo alto,1969205.373680817,2303374.059532788
38,06,04030,02409790,0604030,Barstow,Barstow city,barstow,20074.60153039195,151683.57333145858
39,06,14890,02410200,0614890,Colton,Colton city,colton,85901.79773835304,331765.2537917479
40,06,30658,02410634,0630658,Grand Terrace,Grand Terrace city,grand terrace,92243.89108554901,351935.17392409226
41,06,41474,02410835,0641474,Lincoln,Lincoln city,lincoln,105423.77544612862,382318.01121716603
42,06,43140,02412914,0643140,Loomis,Loomis town,loomis,141682.43826333017,438090.5017577055
43,06,65028,02411778,0665028,San Bruno,San Bruno city,san bruno,669223.2068036294,1180811.3995467145
44,06,34904,02410804,0634904,Hughson,Hughson city,hughson,75200.0,302100.0
45,06,51140,02411247,0651140,Newman,Newman city,newman,57300.0,258800.00000000003
46,06,58352,02411473,0658352,Portola,Portola city,portola,19800.0,196800.00000000003
