clean_city,NAME,NAMELSAD,num_firms,44-45_RCPTOT,72_RCPTOT,31-33_RCPTOT,median_income,households,mean_income,land_value,property_value,diesel
adelanto,Adelanto,Adelanto city,2.0,68095.0,12793.0,371799.0,58040.0,8451.0,66318.0,20604.02361686716,187118.3538001193,5.4656
alamo,Alamo,Alamo CDP,1.0,179565.0,,,250000.0,4973.0,332932.0,630961.169036007,1091269.361011307,5.615399999999999
alhambra,Alhambra,Alhambra city,6.0,1938025.0,254569.0,,73035.0,30057.0,93467.0,475758.8451069462,762730.9489703866,5.575200000000001
aliso viejo,Aliso Viejo,Aliso Viejo city,1.0,388496.0,121360.0,,122320.0,18999.0,144493.0,585136.9229044861,861736.0465114446,5.442799999999999
altadena,Altadena,Altadena CDP,1.0,152601.0,,,109743.0,14789.0,154430.0,560555.0006373478,870539.1896529325,5.575200000000001
alturas,Alturas,Alturas city,1.0,45698.0,,,50843.0,1159.0,58701.0,,,
american canyon,American Canyon,American Canyon city,4.0,224590.0,26989.0,,117846.0,5540.0,140821.0,133815.18605217393,470032.4376646139,5.6894
anaheim,Anaheim,Anaheim city,10.0,4281984.0,2536176.0,4511272.0,81806.0,103570.0,103011.0,406091.511854501,702794.9352261797,5.4428000154465055
anderson,Anderson,Anderson city,1.0,237705.0,32799.0,,40954.0,4577.0,55547.0,45844.81436760924,273260.2773638202,5.328
antelope,Antelope,Antelope CDP,39.0,406813.0,38267.0,,86221.0,15089.0,98385.0,89550.28538814926,336032.0506698012,5.464799999999999
antioch,Antioch,Antioch city,1.0,1120152.0,132198.0,239948.0,82244.0,35742.0,103141.0,94047.27746543882,395911.86075986153,5.615390154549999
apple valley,Apple Valley,Apple Valley town,4.0,685064.0,86562.0,,61758.0,24427.0,82589.0,36209.048250421736,217025.48885323637,5.4656
arcadia,Arcadia,Arcadia city,3.0,978494.0,265741.0,151369.0,99588.0,19189.0,135289.0,947397.5628033732,1137242.864236434,5.575200000000001
arroyo grande,Arroyo Grande,Arroyo Grande city,2.0,362633.0,59771.0,,90405.0,7376.0,105639.0,250324.47052977333,613716.7962182272,5.819999999999999
artesia,Artesia,Artesia city,3.0,227963.0,86538.0,159707.0,83321.0,4417.0,97248.0,422731.42002576886,658756.2415608313,5.575200000000001
arvin,Arvin,Arvin city,11.0,121319.0,12898.0,,42961.0,4444.0,54075.0,33310.210968623156,210878.6018748115,5.6938
atascadero,Atascadero,Atascadero city,1.0,350204.0,72398.0,,82777.0,11733.0,105941.0,154796.55410439678,476102.44810560945,5.82
atwater,Atwater,Atwater city,14.0,281308.0,36127.0,,59436.0,10309.0,72260.0,47457.69614007263,242755.59412031848,5.4504
azusa,Azusa,Azusa city,3.0,492207.0,78303.0,1225831.0,74043.0,13384.0,93039.0,289737.19298624544,572961.5562214745,5.575200000000001
bakersfield,Bakersfield,Bakersfield city,441.0,6145741.0,961701.0,868953.0,69014.0,123334.0,89574.0,57527.91361167019,259588.69459658436,5.6938
baldwin park,Baldwin Park,Baldwin Park city,11.0,967098.0,111227.0,229780.0,72554.0,17555.0,87473.0,265266.0391057673,542189.137757196,5.575200000000001
bay point,Bay Point,Bay Point CDP,2.0,65953.0,9727.0,,71250.0,6542.0,95481.0,111347.91826280773,432731.65565739985,5.615399999999999
beaumont,Beaumont,Beaumont city,7.0,494731.0,60723.0,,92797.0,15610.0,104306.0,62438.67737087366,291886.3509280799,5.444599999999999
bell gardens,Bell Gardens,Bell Gardens city,4.0,277158.0,208227.0,,50311.0,9330.0,60693.0,,,5.575200000000001
bellflower,Bellflower,Bellflower city,6.0,569615.0,123719.0,,70236.0,24018.0,84993.0,318446.5185401734,603455.0292381281,5.575200000000001
belmont,Belmont,Belmont city,1.0,342357.0,79426.0,,178125.0,10961.0,221715.0,1058511.993051169,1603683.8529393722,5.6444
benicia,Benicia,Benicia city,1.0,275427.0,65898.0,3492894.0,118433.0,10844.0,139472.0,219107.92654180745,573689.6453438676,5.460800000000001
beverly hills,Beverly Hills,Beverly Hills city,1.0,3840092.0,952513.0,,103944.0,14401.0,204174.0,3649655.273383999,3299083.4133179644,5.575200000000001
big bear city,Big Bear City,Big Bear City CDP,1.0,22090.0,4014.0,,57147.0,5318.0,69822.0,54457.1867672235,284315.2697846068,5.4656
bishop,Bishop,Bishop city,1.0,190250.0,53460.0,,71927.0,2056.0,74654.0,,,
bloomington,Bloomington,Bloomington CDP,5.0,73389.0,7523.0,,68628.0,5675.0,78116.0,96802.25938119952,335830.1271309041,5.4655989152919275
bodega bay,Bodega Bay,Bodega Bay CDP,1.0,,,,,466.0,134613.0,327137.0696280761,760733.0951697904,5.611999999999999
bonita,Bonita,Bonita CDP,1.0,10115.0,23861.0,,104694.0,4506.0,137670.0,228060.35956808997,550018.8480116903,5.4622
brawley,Brawley,Brawley city,1.0,175540.0,35929.0,,50964.0,7283.0,68734.0,,,5.5649999999999995
brea,Brea,Brea city,1.0,1175183.0,303786.0,1546306.0,108721.0,16584.0,133233.0,477785.3643995381,744770.0076311389,5.4428013631253265
buellton,Buellton,Buellton city,1.0,166751.0,48228.0,,107614.0,1923.0,119846.0,166082.62018337543,575786.039665022,5.5982
buena park,Buena Park,Buena Park city,6.0,1862577.0,296744.0,1388910.0,90503.0,24074.0,108185.0,373259.6878431979,679736.8150794943,5.442806110077384
burbank,Burbank,Burbank CDP,5.0,,,,120556.0,1960.0,153036.0,564286.2578061615,1048988.229563075,5.5942
burbank,Burbank,Burbank city,5.0,2730285.0,746506.0,1067111.0,82246.0,43357.0,116113.0,585259.790571967,925632.2111844242,5.575200000000001
calexico,Calexico,Calexico city,16.0,465605.0,51107.0,107228.0,47390.0,8994.0,67984.0,,,5.5649999999999995
camarillo,Camarillo,Camarillo city,2.0,1367883.0,218283.0,1057102.0,102789.0,25673.0,130976.0,356200.4854956978,636950.2122097377,5.668
camino,Camino,Camino CDP,1.0,,,,127721.0,786.0,142534.0,64002.86838784566,335181.8296344835,
campbell,Campbell,Campbell city,2.0,,245680.0,196266.0,130171.0,17346.0,172607.0,861728.5100687237,1286989.265713173,5.5942
carlsbad,Carlsbad,Carlsbad city,3.0,3111002.0,733515.0,5278139.0,119302.0,44350.0,157427.0,451317.8240285032,800010.7896153678,5.4622
carmel valley village,Carmel Valley Village,Carmel Valley Village CDP,1.0,21332.0,33582.0,,142222.0,1830.0,187553.0,485900.0,843400.0,5.7104
carmichael,Carmichael,Carmichael CDP,3.0,418963.0,74754.0,,74184.0,31033.0,102569.0,139980.09194232072,396050.2979688067,5.464799999999999
carpinteria,Carpinteria,Carpinteria city,1.0,98235.0,59907.0,512762.0,78349.0,4958.0,117278.0,563106.3301198076,1187839.9709368292,5.5982
carson,Carson,Carson city,2.0,2085024.0,239308.0,6344963.0,92548.0,26095.0,110851.0,321313.56474345736,579703.8733628367,5.575200000000001
caruthers,Caruthers,Caruthers CDP,5.0,15139.0,1370.0,,58309.0,613.0,68209.0,,,5.515600000000001
castaic,Castaic,Castaic CDP,2.0,157350.0,25099.0,,127344.0,5656.0,143926.0,209255.39833365835,484024.4966937907,5.575200000000001
castroville,Castroville,Castroville CDP,2.0,23528.0,7746.0,,69620.0,1479.0,74884.0,146100.0,444500.0,5.7104
cathedral city,Cathedral City,Cathedral City city,1.0,1072554.0,110555.0,,56671.0,18827.0,78863.0,100049.02606738756,354744.49244862614,5.444599999999999
ceres,Ceres,Ceres city,34.0,446565.0,67790.0,56784.0,64153.0,13512.0,75625.0,68179.73119810126,279864.5650136888,5.5232
cerritos,Cerritos,Cerritos city,4.0,4022057.0,320161.0,,115600.0,15582.0,143444.0,517690.12081087934,779635.8973792825,5.575169781628247
cherry valley,Cherry Valley,Cherry Valley CDP,1.0,6326.0,7584.0,,77273.0,2758.0,101220.0,58702.14337587086,295040.9328671496,5.444600049535862
chico,Chico,Chico city,2.0,2240390.0,315367.0,385732.0,60507.0,41787.0,82982.0,94616.72263916208,348132.8260069754,5.247400000000001
chino,Chino,Chino city,14.0,1424259.0,179746.0,1721328.0,91107.0,24753.0,105496.0,205903.83411198575,472007.1393336283,5.465600661142872
chino hills,Chino Hills,Chino Hills city,5.0,697660.0,189522.0,,109285.0,24922.0,132727.0,353754.7010752156,612171.9706933309,5.465604512896317
chowchilla,Chowchilla,Chowchilla city,8.0,105573.0,19930.0,,60875.0,3329.0,74103.0,36541.27550866892,206488.3673448919,5.412599999999999
chualar,Chualar,Chualar CDP,1.0,,,,,242.0,87596.0,109200.0,381500.0,5.7104
chula vista,Chula Vista,Chula Vista city,21.0,3155778.0,523754.0,1165270.0,92913.0,82354.0,112354.0,205719.3744294292,515445.0566329474,5.4622
citrus heights,Citrus Heights,Citrus Heights city,14.0,1136558.0,,,68457.0,33333.0,86515.0,92901.90006025803,341004.5070726266,5.464799999999999
claremont,Claremont,Claremont city,2.0,440414.0,127924.0,86258.0,111937.0,12172.0,146282.0,355929.02054300986,686040.345504985,5.575140827216026
clovis,Clovis,Clovis city,70.0,2026547.0,271540.0,308948.0,89769.0,39207.0,112027.0,82937.3816064254,298633.2768169087,5.515600000000001
coachella,Coachella,Coachella city,3.0,312644.0,44143.0,,40688.0,15669.0,55233.0,38545.72874073433,197060.48996768423,5.444599999999999
coalinga,Coalinga,Coalinga city,2.0,98152.0,18696.0,,65180.0,4502.0,78992.0,36852.08081532887,202512.96148714615,5.515600000000001
colfax,Colfax,Colfax city,1.0,,,,69844.0,865.0,87203.0,55711.04518180559,299948.91886550066,
colton,Colton,Colton city,9.0,662085.0,86790.0,1119228.0,60874.0,16709.0,72513.0,85901.79773835304,331765.2537917479,5.46559917347358
colusa,Colusa,Colusa city,1.0,98966.0,,,55664.0,2431.0,68710.0,48424.269605531605,248814.74115982756,
commerce,Commerce,Commerce city,10.0,1507787.0,373661.0,3605226.0,58226.0,3466.0,74681.0,241600.0,531400.0,5.575200000000001
compton,Compton,Compton city,5.0,574294.0,,1002824.0,62297.0,24921.0,72663.0,221000.95041514508,490138.5261486597,5.575200000000001
concord,Concord,Concord city,1.0,3164243.0,378735.0,439343.0,100011.0,45471.0,118420.0,205561.7530996177,571880.1897333537,5.615399999999999
corcoran,Corcoran,Corcoran city,2.0,50972.0,9476.0,,46782.0,4081.0,56601.0,33612.61854411803,179386.3212092069,5.4106000000000005
corona,Corona,Corona city,16.0,3106425.0,411593.0,3870402.0,95268.0,45875.0,115377.0,179540.09500584358,445946.273757467,5.444600000531418
costa mesa,Costa Mesa,Costa Mesa city,3.0,4557599.0,770862.0,1618105.0,96391.0,41243.0,125326.0,580633.4383007785,913167.63012024,5.4428
cotati,Cotati,Cotati city,2.0,199874.0,27812.0,,97500.0,2828.0,108810.0,214775.0731483919,608872.7681118536,5.612
covina,Covina,Covina city,5.0,912247.0,138671.0,,81570.0,16399.0,101799.0,296322.7235006431,577448.7332351201,5.575200000000001
crescent city,Crescent City,Crescent City city,1.0,118589.0,30176.0,,34676.0,1847.0,37057.0,,,
cressey,Cressey,Cressey CDP,1.0,,,,69318.0,90.0,75442.0,39600.0,211000.0,5.450400000000001
crows landing,Crows Landing,Crows Landing CDP,1.0,,,,32016.0,142.0,43244.0,59900.0,255100.0,5.5232
