random,trial_label,num_firms,count
8915,original,0,225
8915,original,1,82
8915,original,2,69
8915,original,3,10
8915,original,4,65
8915,original,5,74
8915,typical_business,0,228
8915,typical_business,1,82
8915,typical_business,2,66
8915,typical_business,3,10
8915,typical_business,4,66
8915,typical_business,5,73
8915,one_percent,0,230
8915,one_percent,1,85
8915,one_percent,2,63
8915,one_percent,3,12
8915,one_percent,4,70
8915,one_percent,5,65
8915,five_percent,0,245
8915,five_percent,1,86
8915,five_percent,2,67
8915,five_percent,3,18
8915,five_percent,4,60
8915,five_percent,5,49
1318,original,0,217
1318,original,1,59
1318,original,2,85
1318,original,3,35
1318,original,4,79
1318,original,5,50
1318,typical_business,0,221
1318,typical_business,1,60
1318,typical_business,2,81
1318,typical_business,3,36
1318,typical_business,4,78
1318,typical_business,5,49
1318,one_percent,0,233
1318,one_percent,1,64
1318,one_percent,2,70
1318,one_percent,3,35
1318,one_percent,4,77
1318,one_percent,5,46
1318,five_percent,0,264
1318,five_percent,1,73
1318,five_percent,2,63
1318,five_percent,3,30
1318,five_percent,4,79
1318,five_percent,5,16
7221,original,0,270
7221,original,1,75
7221,original,2,53
7221,original,3,0
7221,original,4,55
7221,original,5,72
7221,typical_business,0,271
7221,typical_business,1,75
7221,typical_business,2,52
7221,typical_business,3,0
7221,typical_business,4,58
7221,typical_business,5,69
7221,one_percent,0,271
7221,one_percent,1,80
7221,one_percent,2,49
7221,one_percent,3,0
7221,one_percent,4,57
7221,one_percent,5,68
7221,five_percent,0,287
7221,five_percent,1,90
7221,five_percent,2,42
7221,five_percent,3,0
7221,five_percent,4,66
7221,five_percent,5,40
7540,original,0,276
7540,original,1,74
7540,original,2,3
7540,original,3,31
7540,original,4,64
7540,original,5,77
7540,typical_business,0,276
7540,typical_business,1,74
7540,typical_business,2,3
7540,typical_business,3,31
7540,typical_business,4,70
7540,typical_business,5,71
7540,one_percent,0,276
7540,one_percent,1,74
7540,one_percent,2,4
7540,one_percent,3,33
7540,one_percent,4,77
7540,one_percent,5,61
7540,five_percent,0,285
7540,five_percent,1,81
7540,five_percent,2,6
7540,five_percent,3,33
7540,five_percent,4,87
7540,five_percent,5,33
664,original,0,197
664,original,1,46
664,original,2,135
664,original,3,11
664,original,4,62
664,original,5,74
664,typical_business,0,197
664,typical_business,1,47
664,typical_business,2,134
664,typical_business,3,11
664,typical_business,4,63
664,typical_business,5,73
664,one_percent,0,197
664,one_percent,1,47
664,one_percent,2,134
664,one_percent,3,12
664,one_percent,4,62
664,one_percent,5,73
664,five_percent,0,214
664,five_percent,1,55
664,five_percent,2,123
664,five_percent,3,19
664,five_percent,4,56
664,five_percent,5,58
6137,original,0,176
6137,original,1,37
6137,original,2,160
6137,original,3,37
6137,original,4,37
6137,original,5,78
6137,typical_business,0,176
6137,typical_business,1,37
6137,typical_business,2,160
6137,typical_business,3,37
6137,typical_business,4,39
6137,typical_business,5,76
6137,one_percent,0,176
6137,one_percent,1,38
6137,one_percent,2,159
6137,one_percent,3,37
6137,one_percent,4,40
6137,one_percent,5,75
6137,five_percent,0,186
6137,five_percent,1,41
6137,five_percent,2,154
6137,five_percent,3,48
6137,five_percent,4,41
6137,five_percent,5,55
6833,original,0,252
6833,original,1,51
6833,original,2,56
6833,original,3,23
6833,original,4,74
6833,original,5,69
6833,typical_business,0,254
6833,typical_business,1,51
6833,typical_business,2,57
6833,typical_business,3,20
6833,typical_business,4,74
6833,typical_business,5,69
6833,one_percent,0,258
6833,one_percent,1,49
6833,one_percent,2,57
6833,one_percent,3,19
6833,one_percent,4,77
6833,one_percent,5,65
6833,five_percent,0,272
6833,five_percent,1,57
6833,five_percent,2,49
6833,five_percent,3,22
6833,five_percent,4,81
6833,five_percent,5,44
8471,original,0,245
8471,original,1,59
8471,original,2,44
8471,original,3,47
8471,original,4,69
8471,original,5,61
8471,typical_business,0,245
8471,typical_business,1,59
8471,typical_business,2,44
8471,typical_business,3,47
8471,typical_business,4,69
8471,typical_business,5,61
8471,one_percent,0,252
8471,one_percent,1,62
8471,one_percent,2,37
8471,one_percent,3,47
8471,one_percent,4,77
8471,one_percent,5,50
8471,five_percent,0,285
8471,five_percent,1,66
8471,five_percent,2,23
8471,five_percent,3,31
8471,five_percent,4,90
8471,five_percent,5,30
9449,original,0,262
9449,original,1,58
9449,original,2,18
9449,original,3,56
9449,original,4,71
9449,original,5,60
9449,typical_business,0,263
9449,typical_business,1,58
9449,typical_business,2,21
9449,typical_business,3,57
9449,typical_business,4,73
9449,typical_business,5,53
9449,one_percent,0,268
9449,one_percent,1,63
9449,one_percent,2,18
9449,one_percent,3,55
9449,one_percent,4,72
9449,one_percent,5,49
9449,five_percent,0,281
9449,five_percent,1,77
9449,five_percent,2,23
9449,five_percent,3,34
9449,five_percent,4,85
9449,five_percent,5,25
7322,original,0,234
7322,original,1,53
7322,original,2,90
7322,original,3,29
7322,original,4,52
7322,original,5,67
7322,typical_business,0,234
7322,typical_business,1,54
7322,typical_business,2,90
7322,typical_business,3,28
7322,typical_business,4,53
7322,typical_business,5,66
7322,one_percent,0,241
7322,one_percent,1,54
7322,one_percent,2,83
7322,one_percent,3,41
7322,one_percent,4,50
7322,one_percent,5,56
7322,five_percent,0,273
7322,five_percent,1,61
7322,five_percent,2,57
7322,five_percent,3,45
7322,five_percent,4,64
7322,five_percent,5,25
8222,original,0,234
8222,original,1,79
8222,original,2,3
8222,original,3,83
8222,original,4,60
8222,original,5,66
8222,typical_business,0,237
8222,typical_business,1,77
8222,typical_business,2,4
8222,typical_business,3,82
8222,typical_business,4,59
8222,typical_business,5,66
8222,one_percent,0,243
8222,one_percent,1,82
8222,one_percent,2,4
8222,one_percent,3,72
8222,one_percent,4,63
8222,one_percent,5,61
8222,five_percent,0,277
8222,five_percent,1,80
8222,five_percent,2,12
8222,five_percent,3,59
8222,five_percent,4,70
8222,five_percent,5,27
1182,original,0,261
1182,original,1,84
1182,original,2,3
1182,original,3,10
1182,original,4,64
1182,original,5,103
1182,typical_business,0,261
1182,typical_business,1,84
1182,typical_business,2,3
1182,typical_business,3,11
1182,typical_business,4,64
1182,typical_business,5,102
1182,one_percent,0,261
1182,one_percent,1,84
1182,one_percent,2,3
1182,one_percent,3,11
1182,one_percent,4,67
1182,one_percent,5,99
1182,five_percent,0,266
1182,five_percent,1,83
1182,five_percent,2,5
1182,five_percent,3,14
1182,five_percent,4,74
1182,five_percent,5,83
7916,original,0,230
7916,original,1,74
7916,original,2,33
7916,original,3,80
7916,original,4,46
7916,original,5,62
7916,typical_business,0,233
